year	neigh	inc1	inc2	inc3	inc4	inc5	inc6	inc7	inc8	inc9	inc10	inc11	inc12	inc13	inc14	inc15	inc16	inc17	inc18	inc19	inc20	inc21	inc22	inc23	inc24	inc25	inc26	inc27	inc28	inc29	inc30	inc31	inc32	inc33	inc34	inc35	inc36	inc37	inc38	inc39	inc40	inc41	inc42	inc43	inc44	inc45	inc46	inc47	inc48	inc49	inc50	inc51	inc52	inc53	inc54	inc55	inc56	inc57	inc58	inc59	inc60	inc61	inc62	inc63	inc64	inc65	inc66	inc67	inc68	inc69	inc70	inc71	inc72	inc73	inc74	inc75	inc76	inc77	inc78	inc79	inc80	inc81	inc82	inc83	inc84	inc85	inc86	inc87	inc88	inc89	inc90	inc91	inc92	inc93	inc94	inc95	inc96	inc97	inc98	inc99	inc100
2013	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
2013	4	0.00141122	0.0036929	0.02790119	0.03654492	0.0850646	0.09673668	0.10761279	0.11967992	0.12197279	0.1272451	0.14046722	0.1437524	0.14470787	0.14714322	0.14916285	0.15027372	0.1515233	0.15493294	0.15860649	0.1597672	0.16452671	0.17171338	0.17493286	0.18198248	0.19828625	0.2088884	0.21832612	0.24228592	0.2647392	0.3037745	0.32780493	0.34555992	0.38108203	0.41773862	0.8402241	1.54597096	2.23498179	3.03984182	3.39494978	4.3663934	6.33735591	7.58849008	8.84560552	9.83379216	10.31930105	10.4247884	10.60571949	10.68012976	10.90078056	11.243263	11.48162164	12.2248756	12.81006746	14.04619372	14.8428581	14.90400628	15.45603568	16.14914878	16.44334868	17.3010188	17.68263619	17.76700156	18.45381844	19.03289204	19.60994495	20.89229908	21.08181885	21.4422866	24.44885513	24.539951	24.91949218	26.07518448	26.31615647	27.11968336	27.29603575	27.83597612	28.09881264	28.7027766	29.19451683	29.4331984	30.10790521	31.10047676	31.45127562	31.58635668	31.73516755	32.34799264	33.40753959	35.053873	36.1231047	36.3864887	37.23085057	38.54795292	40.85095192	42.4391806	42.8568842	43.11638548	45.47499871	45.72208946	45.76872111	47.43182
2013	6	0.00020287	0.00098252	0.00217672	0.002553	0.00270755	0.00349682	0.00653496	0.00751696	0.0109546	0.0130655	0.01471527	0.02213832	0.02828345	0.02908306	0.0475457	0.059278	0.06982453	0.0820955	0.08922849	0.0925024	0.09694512	0.1143964	0.12314934	0.13273244	0.16159025	0.1630903	0.16580258	0.1696536	0.19024132	0.2030419	0.21162872	0.21560472	0.21947704	0.22964012	0.25080375	0.26811268	0.27837343	0.3049756	0.32071509	0.33336	0.34456073	0.35924902	0.37138022	0.37591476	0.38560695	0.42105908	0.44868128	0.4570728	0.46458	0.5515825	0.5585559	0.57606268	0.60074892	0.64404166	0.6530477	0.69145132	0.6952451	0.76896068	0.81613262	0.837762	0.88256665	0.90728998	0.91371972	0.92342252	0.9451989	0.96121642	1.00356756	1.08335312	1.12084536	1.2899278	1.34232576	1.454528	1.67849907	1.98856686	2.439982	3.02423748	3.37828943	3.90515996	4.37502211	5.1920062	5.67454262	6.22458882	6.48725223	6.94768152	7.78302095	7.9929995	8.28234187	8.47988844	8.80718764	9.9723656	11.0160436	12.13071532	13.25337239	13.95434782	14.401961	14.9508814	16.33784901	16.64728578	17.31121747	34.349674
2013	7	0.407771	13.69436	8.948757	34.386284	16.502003	0.727432	17.844753	0.908396	12.028641	14.017784	21.423944	0.001171	0.264859	0.744178	0.309222	0.582142	0.068965	17.803017	17.908833	25.551888	11.673326	7.870131	36.380001	17.934406	13.258044	35.136528	9.456139	16.978209	0.435113	14.001439	2.430511	0.2226	2.195507	0.459704	4.297318	16.927853	5.673267	5.757875	11.112973	7.440135	2.036671	15.998683	13.180575	13.63331	13.622755	0.152746	19.818766	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
2013	8	0.00017424	0.00065388	0.00112888	0.00168316	0.0031191	0.00468916	0.007543	0.00981236	0.0130597	0.0189678	0.02368936	0.02994792	0.0390871	0.04248316	0.04628	0.05978964	0.06934284	0.07943008	0.08754196	0.090682	0.09781106	0.10799124	0.1178674	0.12517364	0.1301915	0.13585256	0.14094858	0.15735272	0.16374642	0.1744156	0.18279514	0.1863946	0.19358972	0.19974704	0.2067951	0.21136924	0.21386166	0.22096472	0.23261842	0.2493862	0.26363104	0.27518092	0.28542858	0.29710564	0.3063045	0.318735	0.3454012	0.37896336	0.40729168	0.432103	0.45080488	0.46232032	0.47220464	0.48674996	0.4912312	0.49631056	0.50413986	0.5099396	0.51701928	0.5207238	0.5334319	0.54950412	0.56165718	0.57217804	0.5777408	0.58330664	0.59434476	0.6016074	0.60655488	0.6167826	0.62631492	0.6375816	0.64734974	0.65352652	0.659135	0.66348064	0.67107132	0.68150368	0.68473896	0.7191544	0.74940198	0.78304432	0.79752224	0.81807584	0.8392335	0.8489148	0.8638203	0.86926736	0.88037142	0.9787708	1.07991912	1.47129	2.22972464	2.9925636	5.1433224	6.94849704	20.49705828	26.81314496	33.67540446	46.206299
2013	14	3.820728	12.996446	31.466534	43.134945	39.270256	27.942701	42.292431	3.542703	0.676157	21.691174	1.096547	3.360359	27.243269	4.078355	29.041529	21.433155	38.945118	18.594088	31.452169	37.360687	27.15048	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
2013	16	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
2013	17	2.680824	2.323909	13.460702	17.335487	17.523487	17.485628	18.463188	18.816833	20.364223	16.736958	8.206806	7.769335	26.620581	37.329296	17.997414	14.183967	1.555202	27.689941	28.495245	22.041515	37.71632	0.464412	1.229628	9.00E-05	0.001055	11.271297	19.703529	12.083852	12.748194	12.783731	6.507179	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
2013	24	0.009065	1.450846	0.335547	15.77694	1.355145	0.447433	7.27136	1.020756	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
2013	26	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
