year	neigh	inc1	inc2	inc3	inc4	inc5	inc6	inc7	inc8	inc9	inc10	inc11	inc12	inc13	inc14	inc15	inc16	inc17	inc18	inc19	inc20	inc21	inc22	inc23	inc24	inc25	inc26	inc27	inc28	inc29	inc30	inc31	inc32	inc33	inc34	inc35	inc36	inc37	inc38	inc39	inc40	inc41	inc42	inc43	inc44	inc45	inc46	inc47	inc48	inc49	inc50	inc51	inc52	inc53	inc54	inc55	inc56	inc57	inc58	inc59	inc60	inc61	inc62	inc63	inc64	inc65	inc66	inc67	inc68	inc69	inc70	inc71	inc72	inc73	inc74	inc75	inc76	inc77	inc78	inc79	inc80	inc81	inc82	inc83	inc84	inc85	inc86	inc87	inc88	inc89	inc90	inc91	inc92	inc93	inc94	inc95	inc96	inc97	inc98	inc99	inc100
2030	2	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
2030	4	1.23E-05	0.00041726	0.00089353	0.00132656	0.00191755	0.00291346	0.00619678	0.01081264	0.01157964	0.0137136	0.01984896	0.02369544	0.02527962	0.02714922	0.0311899	0.0333618	0.03814561	0.0408241	0.04614724	0.0477452	0.05691102	0.0628928	0.07115012	0.07616392	0.0807745	0.08395232	0.08656161	0.08883496	0.09344532	0.0966009	0.10129072	0.10200628	0.10569496	0.11146792	0.1229249	0.13688464	0.14102352	0.1454697	0.15222719	0.1585438	0.17105734	0.17874098	0.19991687	0.20798316	0.2255434	0.24014842	0.25458477	0.26415656	0.26728526	0.2729595	0.28687014	0.30379452	0.31600318	0.32681616	0.3409889	0.34454308	0.35045804	0.36505778	0.38393071	0.3892176	0.3975131	0.41868768	0.43850371	0.45068396	0.4601888	0.46130566	0.46691432	0.55631476	0.77616872	0.8100151	0.87384982	0.9851962	1.10701092	1.13058102	1.13951375	1.1551678	1.19282286	1.29316402	2.09836425	3.9682198	8.6578247	10.55797564	11.19224192	12.3316102	15.33844605	16.42453798	18.31308873	19.33342216	21.86960793	25.3076192	26.60491179	28.62135608	29.22037359	31.90363376	32.56040405	35.57347296	38.08131714	43.31616104	46.34606873	48.411819
2030	6	1.64E-05	0.00011654	0.00038027	0.00101756	0.0019298	0.00319174	0.00592268	0.0091002	0.01135579	0.0127501	0.01429627	0.0157566	0.01770281	0.01935028	0.0203268	0.02286568	0.02467667	0.02915246	0.03699016	0.0397126	0.04210418	0.04619226	0.04882608	0.05321064	0.0623475	0.06898782	0.07576535	0.0809676	0.0948807	0.1123907	0.1147426	0.12007332	0.12820016	0.1310295	0.1376651	0.14284828	0.15230606	0.17540458	0.19051699	0.2029012	0.22717302	0.24298478	0.26208389	0.2808402	0.2949099	0.31174934	0.33818829	0.35165712	0.36894851	0.3889115	0.40056082	0.408801	0.41470884	0.41922554	0.42691375	0.43167724	0.4395165	0.45511592	0.47269877	0.4921178	0.51482939	0.54064202	0.54982972	0.57000652	0.57968315	0.59308442	0.60285647	0.61102448	0.61819719	0.6438272	0.66462449	0.71222832	0.75316997	0.782818	0.81925125	0.8628464	0.91991496	0.93786252	1.00842207	1.0542818	1.10001998	1.16191692	1.29300401	1.44036072	1.5891784	1.80812496	1.89350561	1.92320724	2.05930508	2.7554678	3.8099205	5.06384916	6.51605804	7.90160246	9.24267805	9.67643184	12.82086917	15.2775208	17.37658859	35.176445
2030	7	0.00334912	0.00484524	0.01205992	0.01368492	0.0199116	0.04097352	0.05013184	0.07422396	0.08301176	0.1127086	0.14145104	0.16677952	0.18300372	0.20342652	0.2331998	0.25661772	0.26996804	0.32008668	0.34545444	0.3471714	0.43011512	0.44838868	0.46360048	0.46711404	0.468258	0.48904896	0.49445404	0.5046648	0.51215368	0.5295974	0.559202	0.56330664	0.56990344	0.57101388	0.5728514	0.57674056	0.58683352	0.58925404	0.59475744	0.6008004	0.60371216	0.60540968	0.62212588	0.62598476	0.633763	0.63814336	0.6411124	0.64491092	0.65014432	0.667829	0.67509644	0.67946492	0.6819664	0.68361408	0.6861188	0.68750244	0.69154588	0.69309416	0.69462424	0.6959104	0.6975876	0.69940664	0.70013896	0.70216768	0.7089424	0.71716396	0.72414924	0.72600956	0.72638884	0.7333204	0.73930884	0.74151552	0.74336412	0.74765444	0.750963	0.76923752	0.93552428	0.99539116	1.11700412	1.4107716	1.56859752	2.86734112	3.35138368	5.75763456	7.1768878	8.95141168	10.57780272	12.61517768	13.41031876	14.1197444	14.39654696	14.72301576	17.03301568	17.89371224	18.482759	18.8562234	19.76080096	23.59327884	35.48799888	37.360001
2030	8	0.00015254	0.0007825	0.00165333	0.00252712	0.0035738	0.0050272	0.00641427	0.00751796	0.00891173	0.0097448	0.01	0.01	0.01089302	0.01249344	0.01460075	0.01678232	0.01933159	0.0219411	0.02507646	0.0278822	0.03094877	0.03346574	0.03671189	0.04036568	0.04404875	0.04817626	0.04996382	0.05181204	0.0581713	0.0623058	0.0675259	0.07281768	0.07725975	0.08555682	0.0929709	0.102301	0.12403222	0.14365538	0.17244405	0.1939916	0.20947542	0.24209078	0.265374	0.27950192	0.292838	0.30290904	0.31325252	0.32765032	0.34348303	0.3631595	0.37726139	0.39373296	0.40294417	0.41510932	0.42714885	0.43697176	0.45556503	0.46594314	0.47211935	0.4792068	0.48731827	0.49570354	0.50651777	0.52085368	0.53152215	0.54286204	0.57521342	0.59838176	0.62430804	0.6482216	0.68166113	0.73901012	0.78456727	0.80188336	0.8176315	0.83252324	0.84578263	0.85618578	0.87276325	0.8968508	0.91267018	0.9690806	1.06019325	1.12562108	1.16745075	1.19203212	1.22567701	1.31214336	1.42122208	1.489525	1.5178229	1.55001368	1.60812766	1.63787554	1.66784675	1.81124932	1.87306088	3.23733478	20.67959001	47.16684
2030	14	1.43E-05	0.0006753	0.00088672	0.00144916	0.00193395	0.00209618	0.00242337	0.00276128	0.00308348	0.0040463	0.00433735	0.0051222	0.00572435	0.00666116	0.00768755	0.01016512	0.01179449	0.01279004	0.01529065	0.0160122	0.01761551	0.0190938	0.02057525	0.02142104	0.02192825	0.02345158	0.02432781	0.02660192	0.02774992	0.0284499	0.02931696	0.03071176	0.03175099	0.03307656	0.0371617	0.0379978	0.03884405	0.0396225	0.04072686	0.041201	0.04489637	0.0521148	0.05714195	0.06117452	0.0699979	0.07284058	0.075417	0.07709388	0.07903875	0.0833335	0.08783248	0.09094428	0.09794229	0.10018544	0.11346455	0.12764792	0.13391831	0.16821538	0.1809217	0.2082026	0.22332988	0.2266761	0.2362504	0.23873652	0.24790835	0.26319286	0.26932789	0.27238068	0.27805227	0.3030168	0.32122159	0.3306958	0.35077883	0.36904748	0.396007	0.40306412	0.40798302	0.452057	0.47905303	0.5019724	0.53381994	0.54841648	0.55158901	0.58367544	0.6278117	0.67361218	0.73325779	0.7565272	1.8547107	4.1739524	4.27326538	11.95852336	21.07968731	24.74571042	28.2936759	29.72008484	32.35380642	38.9571265	40.92385067	44.119919
2030	16	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
2030	17	3.96E-06	1.34E-05	0.00013331	0.00022832	0.0004793	0.00080074	0.00147421	0.00448372	0.00625688	0.0068094	0.00918673	0.00981832	0.01161118	0.01253094	0.01276905	0.01402888	0.01429591	0.01465278	0.01527062	0.016096	0.01753042	0.01796064	0.0184362	0.01883828	0.02121	0.02171328	0.02207505	0.02256264	0.02321658	0.0244302	0.02592314	0.02680108	0.0276912	0.02842516	0.02898205	0.03023604	0.03249872	0.03533462	0.03608537	0.0368712	0.039019	0.03963498	0.04024279	0.04045452	0.0407087	0.0410847	0.04650742	0.0491302	0.05064753	0.0526375	0.05275001	0.05348824	0.05484011	0.05568768	0.0574214	0.06040464	0.0767243	0.09897232	0.10964701	0.110359	0.11481804	0.11648398	0.12226697	0.13271692	0.13990805	0.15952998	0.18042403	0.211593	0.26525733	0.2936448	0.30499193	0.32670048	0.37121295	0.48863066	0.51509875	0.52457088	0.6473779	0.79775318	1.01255998	1.878023	2.21861371	2.87907078	6.17648361	8.6168764	10.08385795	12.5208387	13.38286937	14.04306304	14.84622216	17.7935404	18.4166682	18.50707748	18.97112489	19.6080554	20.7772941	22.1523572	27.09160753	28.58371606	34.84964006	38.706253
2030	24	0.009065	1.450846	0.335547	15.77694	1.355145	0.447433	7.27136	1.020756	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
2030	26	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
